filename,elapsed_minutes,file_size_mb
sub-rid000005_task-raiders_acq-8ch326vol_run-04_bold.nii.gz,107,55.48
sub-rid000005_task-raiders_acq-8ch336vol_run-01_bold.nii.gz,108,57.04
sub-rid000005_task-raiders_acq-8ch340vol_run-05_bold.nii.gz,105,59.28
sub-rid000005_task-raiders_acq-8ch340vol_run-08_bold.nii.gz,107,57.56
sub-rid000005_task-raiders_acq-8ch344vol_run-02_bold.nii.gz,105,57.43
sub-rid000005_task-raiders_acq-8ch344vol_run-03_bold.nii.gz,106,58.24
sub-rid000005_task-raiders_acq-8ch344vol_run-06_bold.nii.gz,105,59.01
sub-rid000005_task-raiders_acq-8ch344vol_run-07_bold.nii.gz,107,58.37
sub-rid000011_task-raiders_acq-8ch326vol_run-04_bold.nii.gz,104,50.21
sub-rid000011_task-raiders_acq-8ch336vol_run-01_bold.nii.gz,103,51.39
sub-rid000011_task-raiders_acq-8ch340vol_run-05_bold.nii.gz,105,47.08
sub-rid000011_task-raiders_acq-8ch340vol_run-08_bold.nii.gz,104,45.74
sub-rid000011_task-raiders_acq-8ch344vol_run-02_bold.nii.gz,104,52.86
sub-rid000011_task-raiders_acq-8ch344vol_run-03_bold.nii.gz,106,55.67
sub-rid000011_task-raiders_acq-8ch344vol_run-06_bold.nii.gz,106,46.97
sub-rid000011_task-raiders_acq-8ch344vol_run-07_bold.nii.gz,109,49.05
sub-rid000014_task-raiders_acq-8ch336vol_run-01_bold.nii.gz,110,42.30
sub-rid000014_task-raiders_acq-8ch340vol_run-05_bold.nii.gz,109,52.70
sub-rid000014_task-raiders_acq-8ch340vol_run-08_bold.nii.gz,106,50.56
sub-rid000014_task-raiders_acq-8ch344vol_run-02_bold.nii.gz,105,49.95
sub-rid000014_task-raiders_acq-8ch344vol_run-03_bold.nii.gz,105,48.92
sub-rid000014_task-raiders_acq-8ch344vol_run-06_bold.nii.gz,105,47.90
sub-rid000014_task-raiders_acq-8ch344vol_run-07_bold.nii.gz,107,46.91
sub-rid000015_task-raiders_acq-8ch326vol_run-04_bold.nii.gz,106,55.61
sub-rid000015_task-raiders_acq-8ch336vol_run-01_bold.nii.gz,106,56.93
sub-rid000015_task-raiders_acq-8ch340vol_run-05_bold.nii.gz,107,62.52
sub-rid000015_task-raiders_acq-8ch340vol_run-08_bold.nii.gz,105,61.95
sub-rid000015_task-raiders_acq-8ch344vol_run-02_bold.nii.gz,107,58.32
sub-rid000015_task-raiders_acq-8ch344vol_run-03_bold.nii.gz,105,59.38
sub-rid000015_task-raiders_acq-8ch344vol_run-06_bold.nii.gz,107,63.38
sub-rid000015_task-raiders_acq-8ch344vol_run-07_bold.nii.gz,108,63.11
sub-rid000020_task-raiders_acq-8ch326vol_run-04_bold.nii.gz,104,47.87
sub-rid000020_task-raiders_acq-8ch336vol_run-01_bold.nii.gz,105,48.12
sub-rid000020_task-raiders_acq-8ch340vol_run-05_bold.nii.gz,107,58.61
sub-rid000020_task-raiders_acq-8ch340vol_run-08_bold.nii.gz,106,59.19
sub-rid000020_task-raiders_acq-8ch344vol_run-02_bold.nii.gz,104,50.28
sub-rid000020_task-raiders_acq-8ch344vol_run-03_bold.nii.gz,107,50.58
sub-rid000020_task-raiders_acq-8ch344vol_run-06_bold.nii.gz,106,57.53
